name,code,country,latitude,longitude,elevation,style,runway_direction,runway_length,runway_width,frequency,description
Obstacle,Obsta,PL,51.26051666666667,18.611783333333335,164.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.26421666666667,18.61365,181.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.267633333333336,18.616816666666665,174.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.26835,18.601983333333333,172.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.0414,15.255733333333334,17.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.04108333333333,15.257766666666667,14.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.19505,21.202516666666668,171.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.369733333333336,18.892416666666666,86.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.36475,18.887233333333334,95.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.36235,18.8902,111.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.33701666666666,18.884983333333334,93.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.349133333333334,18.88993333333333,99.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.35426666666667,18.89665,96.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.35341666666667,18.891233333333332,106.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.34295,18.88008333333333,101.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.34,18.882916666666667,97.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.915683333333334,20.582683333333332,103.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.69923333333333,16.292883333333332,49.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.694916666666664,16.299033333333334,48.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.32841666666667,20.06035,327.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.683933333333336,19.23595,92.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.8437,19.337066666666665,100.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.84831666666667,19.32196666666667,92.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.84813333333334,19.3121,96.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.84781666666667,19.344833333333334,88.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.86443333333333,19.311016666666667,96.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.849,19.335916666666666,101.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.845333333333336,19.281533333333332,80.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.84811666666667,19.303966666666668,88.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.86331666666667,19.330216666666665,83.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.857533333333336,19.317316666666667,88.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.85326666666667,19.306033333333332,83.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.36396666666667,18.691483333333334,89.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.36298333333333,18.682816666666668,83.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.56405,17.063883333333333,24.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.56065,17.060016666666666,26.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.5666,17.070166666666665,29.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.56498333333333,17.076766666666668,21.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.563116666666666,17.070033333333335,19.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.52818333333333,17.0971,62.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.52981666666667,17.102433333333334,65.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.535333333333334,17.102216666666667,65.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.53296666666667,17.098166666666668,66.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.530966666666664,17.09375,58.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.568866666666665,17.07893333333333,29.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.55968333333333,17.066716666666668,22.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.34753333333333,18.226283333333335,104.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.35145,18.226516666666665,92.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.357866666666666,18.21455,101.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.3547,18.220416666666665,91.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.351366666666664,18.2146,107.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.59315,15.667783333333333,138.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.637566666666665,15.670116666666667,120.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.59838333333333,15.62525,122.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.6021,15.635116666666667,132.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.59846666666667,15.636266666666666,127.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.59401666666667,15.661983333333334,127.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.5986,15.6637,129.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.62165,15.6821,139.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.58121666666667,15.666866666666667,134.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.62736666666667,15.677283333333333,147.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.58226666666667,15.661,130.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.603316666666665,15.621083333333333,133.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.59491666666667,15.656216666666667,132.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.58405,15.671866666666666,138.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.604416666666665,15.660833333333333,127.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.618433333333336,15.686516666666666,140.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.59811666666667,15.65345,126.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.61865,15.692533333333333,141.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.586216666666665,15.659366666666667,144.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.58515,15.665583333333334,131.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.64325,15.652433333333333,129.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,51.63073333333333,15.673566666666666,137.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,54.3117,16.442383333333332,37.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.31033333333333,16.4269,19.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.26663333333333,16.547183333333333,36.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,51.60921666666667,15.700783333333334,130.0,8,,,,,Height: 125 m GND
Obstacle,Obsta,PL,54.25485,16.505733333333332,56.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.25235,16.541183333333333,81.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.31185,16.436066666666665,39.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.254583333333336,16.547633333333334,77.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.243316666666665,16.546633333333332,73.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.242333333333335,16.57496666666667,60.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.235483333333335,16.54831666666667,69.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.2398,16.543416666666666,75.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.254616666666664,16.5542,65.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.25855,16.498116666666668,54.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.245583333333336,16.541083333333333,77.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.30798333333333,16.44145,13.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.23766666666667,16.578883333333334,53.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.23545,16.5411,58.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.31773333333334,16.431066666666666,27.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.248666666666665,16.571783333333332,81.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.2383,16.536933333333334,69.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.24536666666667,16.577533333333335,60.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.2563,16.538716666666666,76.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.25378333333333,16.51275,69.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.3156,16.436933333333332,33.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.240383333333334,16.557116666666666,78.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.24236666666667,16.537966666666666,74.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.234433333333335,16.576066666666666,62.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.25365,16.563166666666667,62.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.24791666666667,16.512366666666665,69.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.25846666666666,16.555266666666668,61.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.25136666666667,16.5582,63.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.25846666666666,16.5486,69.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.23923333333333,16.570833333333333,64.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.25771666666667,16.562166666666666,66.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.23951666666667,16.55015,72.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.26255,16.548483333333333,48.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.255,16.497833333333332,52.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.24143333333333,16.513566666666666,75.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.25096666666666,16.508016666666666,57.0,8,,,,,Height: 98 m GND
Obstacle,Obsta,PL,54.49753333333334,17.47223333333333,79.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.497616666666666,17.465133333333334,70.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.515883333333335,17.422116666666668,73.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.518816666666666,17.417416666666668,65.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.523,17.429316666666665,64.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.50546666666666,17.46505,60.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.52353333333333,17.421966666666666,74.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.50168333333333,17.4696,71.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.5092,17.457333333333334,63.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.5107,17.450916666666668,67.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.50415,17.47511666666667,61.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.50183333333333,17.461283333333334,61.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.522733333333335,17.4167,75.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.507,17.48255,78.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.51593333333334,17.438033333333333,63.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.50525,17.459633333333333,68.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.50953333333333,17.477616666666666,68.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.52053333333333,17.42375,69.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.50026666666667,17.47683333333333,78.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,54.503083333333336,17.48215,69.0,8,,,,,Height: 120 m GND
Obstacle,Obsta,PL,53.770833333333336,16.369333333333334,101.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.771316666666664,16.363733333333332,106.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.771,16.356816666666667,115.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.78575,16.40276666666667,102.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.7631,16.38061666666667,117.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.764183333333335,16.39206666666667,117.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.7709,16.390366666666665,112.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.76513333333333,16.34985,130.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.7607,16.359983333333332,126.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.77615,16.39131666666667,109.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.765633333333334,16.386816666666668,125.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.76733333333333,16.393483333333332,120.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.76786666666667,16.3643,113.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,53.76691666666667,16.36965,115.0,8,,,,,Height: 113 m GND
Obstacle,Obsta,PL,51.19103333333333,15.909833333333333,198.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.17743333333333,15.907383333333334,202.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.18905,15.9036,197.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.17928333333333,15.912233333333333,196.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.166133333333335,15.890066666666666,198.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.1827,15.91285,205.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.1924,15.904166666666667,200.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.1843,15.908633333333333,204.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.16898333333334,15.886216666666666,192.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.17196666666667,15.88315,201.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.171933333333335,15.8894,205.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.17486666666667,15.886266666666666,204.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.18083333333333,15.907983333333334,201.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.169,15.88,208.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.175466666666665,15.901166666666667,199.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.187666666666665,15.909216666666667,202.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,51.178866666666664,15.901816666666667,196.0,8,,,,,Height: 105 m GND
Obstacle,Obsta,PL,53.95673333333333,16.1844,59.0,8,,,,,Height: 138 m GND
Obstacle,Obsta,PL,53.9566,16.179783333333333,63.0,8,,,,,Height: 138 m GND
Obstacle,Obsta,PL,53.959,16.200083333333332,54.0,8,,,,,Height: 138 m GND
Obstacle,Obsta,PL,53.96313333333333,16.200833333333332,54.0,8,,,,,Height: 138 m GND
Obstacle,Obsta,PL,53.96496666666667,16.193183333333334,61.0,8,,,,,Height: 138 m GND
Obstacle,Obsta,PL,53.9619,16.210433333333334,69.0,8,,,,,Height: 138 m GND
Obstacle,Obsta,PL,52.21425,18.660183333333332,117.0,8,,,,,Height: 100 m GND
Obstacle,Obsta,PL,52.21965,18.664416666666668,121.0,8,,,,,Height: 100 m GND
Obstacle,Obsta,PL,52.21053333333333,18.6706,118.0,8,,,,,Height: 150 m GND
Obstacle,Obsta,PL,52.2168,18.665916666666668,128.0,8,,,,,Height: 150 m GND
Obstacle,Obsta,PL,54.151266666666665,22.87995,231.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.143566666666665,22.891266666666667,218.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.14065,22.8864,221.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.150533333333335,22.87265,206.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.155366666666666,22.88135,225.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.1604,22.87385,223.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.160666666666664,22.8677,229.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.17633333333333,22.8685,224.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.15443333333333,22.868516666666668,224.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.15741666666667,22.87105,234.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.156983333333336,22.8653,219.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.17111666666667,22.876133333333332,231.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.16996666666667,22.86766666666667,232.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.173,22.87025,244.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.14458333333334,22.89695,213.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.154783333333334,22.874583333333334,237.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.15846666666667,22.879016666666665,234.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,54.1759,22.859583333333333,209.0,8,,,,,Height: 103 m GND
Obstacle,Obsta,PL,52.38673333333333,22.30645,180.0,8,,,,,Height: 100 m GND
Obstacle,Obsta,PL,53.80311666666667,15.988916666666666,129.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.29698333333333,15.599116666666667,112.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.304183333333334,15.598866666666666,114.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.53261666666667,15.902933333333333,98.0,8,,,,,Height: Unknown
Mentos,Mento,PL,51.96296666666667,20.83655,140.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.8689,17.681483333333333,135.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.69855,23.368166666666667,163.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.7126,23.3625,171.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.7171,23.361466666666665,166.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.70793333333334,23.364316666666667,156.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.702866666666665,23.365566666666666,163.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.694316666666666,23.37076666666667,166.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.988533333333336,17.861583333333332,93.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.86945,14.899983333333333,53.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.86235,14.911516666666667,52.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.4797,19.818266666666666,172.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.88235,14.915083333333333,69.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.53223333333333,17.106983333333332,61.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.80426666666666,20.07065,190.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.78973333333333,20.04768333333333,187.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.80746666666667,20.06095,162.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.801066666666664,20.064633333333333,208.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.79558333333333,20.04225,168.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.16353333333333,17.7649,299.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.14951666666666,17.773566666666667,308.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.15655,17.81745,268.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.7695,14.9465,111.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.1567,17.7689,314.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.73645,18.368433333333332,13.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.16135,17.809216666666668,272.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.15638333333333,17.776633333333333,312.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.155766666666665,17.811616666666666,290.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.155166666666666,17.78485,309.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.16008333333333,17.789633333333335,306.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.15428333333333,17.790366666666667,312.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.170516666666664,17.769116666666665,305.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.15808333333333,17.798033333333333,294.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.1583,17.781766666666666,322.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.716633333333334,17.710266666666666,155.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.71845,17.711683333333333,143.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.813833333333335,19.691333333333333,223.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.90311666666667,16.104633333333332,407.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.73676666666667,18.375416666666666,14.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.90356666666667,16.10095,396.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.7523,15.0459,91.0,8,,,,,Height: 104 m GND
Obstacle,Obsta,PL,52.139833333333335,20.419,82.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,54.109883333333336,19.050333333333334,12.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.9154,18.898516666666666,251.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.9164,18.8946,255.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,50.8028,19.386016666666666,261.0,8,,,,,Height: Unknown
WTG34,WTG34,PL,52.36545,21.799566666666667,130.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.382983333333335,21.763616666666667,136.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.37835,21.838116666666668,167.0,8,,,,,Height: Unknown
WTG15,WTG15,PL,52.37028333333333,21.772083333333335,153.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.40913333333334,21.77375,113.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.38281666666666,21.8476,150.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.38535,21.876533333333334,156.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.39585,21.889233333333333,156.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.40133333333333,21.731116666666665,127.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.38425,21.807116666666666,151.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.39941666666667,21.8927,146.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.377433333333336,21.7617,116.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.387566666666665,21.7725,142.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.38681666666667,21.85625,178.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.39221666666667,21.791983333333334,153.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.40581666666667,21.780166666666666,137.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.5247,19.784566666666667,187.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.38653333333333,21.783466666666666,153.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.7577,15.05805,69.0,8,,,,,Height: 104 m GND
Obstacle,Obsta,PL,52.75546666666666,15.02895,77.0,8,,,,,Height: 104 m GND
Obstacle,Obsta,PL,52.76128333333333,15.027466666666667,80.0,8,,,,,Height: 104 m GND
Obstacle,Obsta,PL,52.760216666666665,15.037016666666666,71.0,8,,,,,Height: 104 m GND
Obstacle,Obsta,PL,52.759,15.04935,74.0,8,,,,,Height: 104 m GND
Obstacle,Obsta,PL,52.59585,18.54195,96.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.5987,18.582183333333333,89.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.621516666666665,18.5769,80.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.60695,18.5696,89.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.59916666666667,18.541616666666666,98.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.598166666666664,18.541833333333333,110.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.64946666666667,18.52625,105.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.65546666666667,18.461816666666667,95.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.64318333333333,18.499683333333333,91.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.666983333333334,18.41575,143.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.65323333333333,18.465316666666666,80.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.28393333333333,15.2619,57.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.630716666666665,18.573516666666666,92.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.6057,18.595883333333333,84.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.288016666666664,15.236766666666666,55.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.28536666666667,15.247433333333333,53.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.28565,15.23585,50.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.655116666666665,18.470933333333335,97.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.67106666666667,18.40685,144.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.62415,18.568583333333333,97.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.290616666666665,15.271366666666667,42.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.6407,18.501333333333335,96.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,51.66661666666667,18.408916666666666,146.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.285466666666665,15.25615,55.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.294333333333334,15.272783333333333,56.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.702416666666664,23.28135,166.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.61323333333333,18.559083333333334,85.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.61606666666667,18.582,91.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,53.28798333333334,15.27035,52.0,8,,,,,Height: Unknown
Obstacle,Obsta,PL,52.69898333333333,23.2699,152.0,8,,,,,Height: Unknown
