name,code,country,latitude,longitude,elevation,style,runway_direction,runway_length,runway_width,frequency,description
JASŁO,,PL,49.75278333333333,21.511666666666667,226.0,2,263,400.0m,25.0m,,
JEDRZEJÓW,,PL,50.63445,20.257216666666668,265.0,2,,,,,
KADŁUBIA,,PL,51.657783333333334,15.166383333333334,155.0,2,290,242.0m,20.0m,,
JELENIA GÓRA,EPJG,PL,50.898833333333336,15.7855,342.0,2,289,850.0m,50.0m,122.905,
JEŻÓW SUDECKI,EPJS,PL,50.94416666666667,15.76695,537.0,2,093,330.0m,50.0m,121.405,
KALISKA,,PL,52.48,16.02,85.0,0,,,,,
KĄKOLEWO,EPPG,PL,52.235,16.241116666666667,91.0,5,281,2300.0m,30.0m,119.935,
KAMIONNA,,PL,52.55305,15.946383333333333,71.0,2,212,500.0m,30.0m,,
KAMIEŃSK,,PL,51.22555,19.42055,314.0,0,,,,,
KAMYK,,PL,50.89445,18.998616666666667,235.0,2,,,,,
KANIÓW,EPKW,PL,49.94166666666667,19.01945,254.0,5,308,947.0m,24.0m,127.730,
KATOWICE/PYRZOWICE,EPKT,PL,50.47603333333333,19.08,276.0,5,270,3200.0m,45.0m,129.255,
KARMINEK,,PL,51.827783333333336,17.686116666666667,137.0,2,,,,,
KATOWICE MUCHOWIEC,EPKM,PL,50.2383,19.03398333333333,277.0,5,226,1070.0m,30.0m,120.080,
KAZIMIERZ BISKUPI,EPKB,PL,52.31916666666667,18.16695,110.0,5,090,629.0m,26.0m,122.300,
KĘPNO,,PL,51.32195,17.972216666666668,189.0,2,312,536.0m,25.0m,,
KĘTRZYN,EPKE,PL,54.047216666666664,21.426116666666665,137.0,2,330,1105.0m,50.0m,119.580,
KŁOBUCK,,PL,50.9,18.95695,233.0,2,,,,,
KLUCZEWO,,PL,53.280833333333334,14.966383333333333,23.0,0,,,,,
KOŁBIEL-SKORUPY,,PL,52.055283333333335,21.428616666666667,126.0,2,355,508.0m,15.0m,123.450,
KIKITY,EPKI,PL,53.98305,20.877216666666666,172.0,2,287,800.0m,35.0m,119.405,
KONOPKI,,PL,52.988616666666665,20.507783333333332,122.0,2,325,818.0m,35.0m,,
KLESZCZEWO,,PL,54.209716666666665,18.525,127.0,2,220,240.0m,30.0m,,
KOŃSKIE-KOMASZYCE,EPKD,PL,51.25528333333333,20.471116666666667,258.0,2,268,600.0m,30.0m,,
KORNE,EPKO,PL,54.12971666666667,17.845283333333334,163.0,2,063,550.0m,50.0m,121.180,
KONSTANCIN-JEZIORNA,,PL,52.076116666666664,21.187783333333332,79.0,2,300,770.0m,40.0m,123.450,
KOŚLINKA,,PL,53.96305,19.081666666666667,38.0,2,211,280.0m,50.0m,,
KOSZALIN / ZEGRZE POMORSKIE,,PL,54.04221666666667,16.263616666666667,69.0,0,065,2500.0m,60.0m,,
KOSZALIN BAZA LPR,EPKH,PL,54.05028333333333,16.279716666666666,71.0,0,,,,,
KRAKÓW/BALICE,EPKK,PL,50.077783333333336,19.784716666666668,241.0,5,258,2550.0m,60.0m,123.255,
KRASOCIN,EPKL,PL,50.89945,20.126666666666665,250.0,2,310,1075.0m,35.0m,,
KRAKÓW-CZYŻYNY,EPKC,PL,50.08421666666667,19.990833333333335,218.0,5,284,735.0m,30.0m,135.180,
KRĄPLEWICE,,PL,53.51278333333333,18.425,85.0,2,275,355.0m,15.0m,,
KREPSKO,,PL,53.25055,16.75195,70.0,2,320,850.0m,70.0m,,
KRĘPA K/SLUPSKA,EPSK,PL,54.40945,17.094166666666666,77.0,2,281,1250.0m,50.0m,118.255,
KROSNO,EPKR,PL,49.68111666666667,21.736666666666668,280.0,5,287,1100.0m,30.0m,119.555,
KRUSZYN K/WOCŁAWKA,EPWK,PL,52.58461666666667,19.0125,66.0,2,261,1000.0m,70.0m,122.405,
KRZESZYCE,,PL,52.599716666666666,14.995283333333333,9.0,2,203,320.0m,25.0m,,
KRYNICE KOLONIA,,PL,53.231116666666665,23.045,177.0,2,293,521.0m,20.0m,,
KRZYWA,,PL,51.31028333333333,15.727216666666667,204.0,5,280,2450.0m,60.0m,,
KUCZYN,,PL,52.72195,22.52195,121.0,2,336,686.0m,18.0m,,
KUKAŁY,EPKU,PL,51.875283333333336,21.00305,129.0,2,349,700.0m,45.0m,123.450,
KURNATOWICE,,PL,52.59195,16.08695,85.0,2,360,380.0m,30.0m,,
KUŹNIA RACIBORSKA,,PL,50.221383333333335,18.32555,195.0,2,267,650.0m,25.0m,,
LĄDOWISKO ŚWIDNIK,EPSL,PL,51.23195,22.690283333333333,196.0,2,235,700.0m,50.0m,122.600,
ŁAGOWO,,PL,51.971383333333335,16.99195,105.0,2,,,,,
ŁASK,EPLK,PL,51.55166666666667,19.179166666666667,195.0,5,287,3000.0m,60.0m,133.075,
LASZKI,EPJL,PL,50.00833333333333,22.918333333333333,187.0,2,257,800.0m,80.0m,122.600,
LDZAŃ,EPLD,PL,51.59,19.255,183.0,2,238,1100.0m,30.0m,,
ŁĘCZYCA,EPLY,PL,52.005,19.143883333333335,123.0,5,284,2500.0m,60.0m,128.025,
LELÓW,,PL,50.70471666666667,19.619166666666665,268.0,2,,,,,
LEWICKIE,,PL,53.02916666666667,23.134716666666666,131.0,2,219,500.0m,20.0m,,
LINOWIEC,EPLI,PL,54.00805,18.499716666666668,107.0,2,268,400.0m,42.0m,118.055,
LGOTA MUROWANA,,PL,50.526383333333335,19.56,366.0,2,272,457.0m,30.0m,,
LIPKI WIELKIE,,PL,52.715833333333336,15.510833333333334,41.0,5,228,760.0m,25.0m,,
LISY,,PL,54.221383333333335,22.047783333333335,128.0,2,217,455.0m,18.0m,,
LISEWO,,PL,52.60666666666667,20.428333333333335,110.0,2,353,440.0m,25.0m,,
ŁOBEZ,,PL,53.60888333333333,15.688883333333333,96.0,2,312,800.0m,60.0m,,
LISIE KĄTY,EPGI,PL,53.52441666666667,18.849333333333334,35.0,2,310,1060.0m,200.0m,119.885,
ŁÓDŹ,EPLL,PL,51.7199,19.388883333333332,177.0,5,251,2500.0m,45.0m,124.230,
LIW KRYPY,,PL,52.38805,21.988616666666665,119.0,2,360,365.0m,50.0m,,
LIW JARNICE,,PL,52.36221666666667,21.983333333333334,117.0,2,347,320.0m,25.0m,,
ŁOMŻA,,PL,53.17916666666667,22.093883333333334,91.0,2,301,315.0m,40.0m,,
ŁOSOSINA DOLNA K/NOWEGO SĄCZA,EPNL,PL,49.74528333333333,20.623333333333335,254.0,2,217,830.0m,60.0m,127.940,
LUBIN,EPLU,PL,51.423,16.19615,156.0,5,127,1000.0m,30.0m,119.535,
ŁUKÓW-GRĘZÓWKA,,PL,51.993883333333336,22.322216666666666,168.0,2,197,750.0m,100.0m,,
MAJDAN NOWY 1,,PL,50.46,22.746666666666666,201.0,2,196,1384.0m,26.0m,,
MAJDAN NOWY 2,,PL,50.461666666666666,22.763883333333332,213.0,2,195,200.0m,40.0m,,
LUBLIN,EPLB,PL,51.24028333333333,22.713616666666667,206.0,5,257,2520.0m,45.0m,136.430,
MAJORY,,PL,51.431666666666665,18.058333333333334,151.0,2,266,405.0m,40.0m,123.450,
MALBORK,EPMB,PL,54.026666666666664,19.13555,6.0,5,259,2500.0m,50.0m,123.000,
MAKOWICE,,PL,53.76055,15.290283333333333,35.0,5,289,1640.0m,30.0m,,
MARIANKA,,PL,51.75805,14.739716666666666,75.0,2,303,900.0m,60.0m,,
MASLOW K/KIELC,EPKA,PL,50.896816666666666,20.731566666666666,293.0,5,286,1040.0m,30.0m,118.080,
MICHALKOW K/OSTROWA WLKP.,EPOM,PL,51.70248333333333,17.8468,145.0,2,285,960.0m,265.0m,127.960,
MIEDZYRZEC PODLASKI,,PL,52.0175,22.734166666666667,152.0,2,220,513.0m,28.0m,,
MIEDZYRZECZ 2,,PL,52.41916666666667,15.58055,50.0,2,062,330.0m,25.0m,,
MIEDZYRZECZ 1,,PL,52.441383333333334,15.619716666666667,50.0,0,280,500.0m,28.0m,,
MIEROSZOW,,PL,50.66778333333333,16.202216666666665,519.0,2,260,450.0m,40.0m,,
MIELEC,EPML,PL,50.322266666666664,21.462133333333334,167.0,5,084,2492.0m,45.0m,119.105,
MINSK MAZOWIECKI,EPMM,PL,52.19555,21.655833333333334,168.0,5,270,2500.0m,80.0m,135.425,
MIROSLAWICE,EPMR,PL,50.95916666666667,16.77028333333333,151.0,2,088,570.0m,50.0m,122.605,
